 25W12-SB_1216WYHQ1400_cad        Tebo-ICT,  license #WIWYNN

 Test Fixture Nails     480/480  Selected Drills           16-December-2025 18:17
                        480 Nails,  1829 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$1008     4.9300    3.7000   1  AA   (B)  #1213 PWRGD_PVDD_MISC_S5 T PIN TB_TP314.1
$1009     4.7750    3.7850   1  AA   (B)  #824  PWRGD_P5V_DIMM   T PIN TB_TP316.1
$1010     4.6510    3.7700   1  AA   (B)  #817  FM_P3V3_EN       T PIN TB_TP480.1
$1011     4.7940    4.0150   1  AA   (B)  #1082 P5V_DIMM_SW      T PIN TB_TP347.1
$1012     4.8570    4.1704   1  AA   (B)  #1083 P5V_DIMM_PG      T PIN TB_TP348.1
$1013     4.8930    4.3050   1  AA   (B)  #692  FM_I2C_MUX_SEL   T PIN TB_TP168.1
$1014     4.3500    4.3850   3  AA   (B)  #1175 SMB_DDRAB_P1V8_SDA T PIN TB_TP310.1
$1015     4.3000    4.3780   3  AA   (B)  #1174 SMB_DDRAB_P1V8_SCL T PIN TB_TP311.1
$1016     4.1610    4.3890   3  AA   (B)  #1230 DIMM_CHA_PWR_R_EN T PIN TB_TP496.1
$1017     4.1000    4.3900   2  AA   (B)  #856  DIMM_CHAB_PWR_EN T PIN TB_TP495.1
$1018     3.9100    4.1900   1  AA   (B)  #39   P5V_DIMM         T PIN TB_TP353.1
$1019     3.6800    4.1450   1  AA   (B)  #1229 DIMM_CHB_PWR_R_EN T PIN TB_TP494.1
$1020     3.7650    4.0800   1  AA   (B)  #1006 PWRGD_DIMM_CHAB  T PIN TB_TP319.1
$1021     4.0871    4.0338   1  AA   (B)  #809  PWRGD_DIMM_CHAB_R T PIN TB_TP74.1
$1022     4.2970    3.7150   1  AA   (B)  #802  PWRGD_P3V3       T PIN TB_TP194.1
$1023     4.5840    3.6020   1  AA   (B)  #1119 P1V8_STBY_SW     T PIN TB_TP372.1
$1024     4.7800    3.6000   1  AA   (B)  #648  AGND_P1V8_STBY   T PIN TB_TP515.1
$1025     4.9950    3.4000   1  AA   (B)  #1120 P1V8_STBY_VIN    T PIN TB_TP370.1
$1026     4.7200    3.2400   3  AA   (B)  #1116 P1V8_STBY_VCC    T PIN TB_TP371.1
$1027     4.7250    3.1800   2  AA   (B)  #1117 P1V8_STBY_PG     T PIN TB_TP373.1
$1028     4.8109    3.1610   1  AA   (B)  #652  AGND_PVDD_MISC_S5 T PIN TB_TP268.1
$1029     4.9488    3.1100   1  AA   (B)  #1106 PVDD_MISC_S5_EN  T PIN TB_TP338.1
$1030     5.2280    2.9150   1  AA   (B)  #1111 PVDD_MISC_S5_VIN T PIN TB_TP334.1
$1031     5.1594    2.4615   1  AA   (B)  #1091 P3V3_STBY_VIN    T PIN TB_TP357.1
$1032     5.1673    2.1123   3  AA   (B)  #724  TPM_MAINSOURCE_PP T PIN TB_TP281.1
$1033     5.1070    2.1130   2  AA   (B)  #722  TPM_SECONDSOURCE_PP T PIN TB_TP279.1
$1034     5.0794    2.2463   1  AA   (B)  #1007 TPM_PP           T PIN TB_TP280.1
